epoch;acc;loss;val_acc;val_loss
0;0.5884;0.6620089413642883;0.7093349358974359;0.5807138925943619
1;0.7044;0.5742563725948334;0.7520128824476651;0.5085107823308923
2;0.74175;0.5205582540988922;0.789049919484702;0.4651030207505741
3;0.78205;0.46679306950569155;0.7822061191626409;0.4906756569797866
4;0.80955;0.4196374378919601;0.7681159420289855;0.4855399950498928
5;0.83785;0.37182215036153793;0.8595008051529791;0.32875660798495904
6;0.85815;0.33252625039815903;0.8629227053140096;0.34045755667626953
7;0.875;0.299043302744627;0.8796296296296297;0.2778933214776566
8;0.88585;0.27634246689081193;0.894927536231884;0.2565258734180156
9;0.898;0.2497329500377178;0.8721819645732689;0.2929207851057467
10;0.90705;0.23161881664693357;0.9120370370370371;0.24400368139999595
11;0.91605;0.21092515717744828;0.8919082125603864;0.26456160279479773
12;0.92105;0.19900293408632277;0.9311594202898551;0.17750745733387036
13;0.9233;0.19092675325572492;0.9251207729468599;0.18810293052027574
14;0.9306;0.18238227515220642;0.912842190016103;0.20983764692397125
15;0.9327;0.17228152154386042;0.9319645732689211;0.1888491028856828
16;0.93465;0.16975035375207662;0.9315619967793881;0.16849756660689744
17;0.93795;0.15870635785162449;0.9315619967793881;0.23043215505166906
18;0.93905;0.1561654929291457;0.9359903381642513;0.1754132590816025
19;0.9422;0.15178322643190623;0.9359903381642513;0.1710161374290976
